[2021-02-04 17:18] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:18] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:19] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:19] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:20] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:33] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:34] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:35] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:36] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:36] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:37] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:37] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:39] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:42] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:44] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:45] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:46] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:47] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:48] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:48] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:48] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:49] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:51] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:51] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:53] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:02] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:03] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:04] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:05] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:06] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:06] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:07] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:08] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:10] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:12] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:14] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:16] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:19] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:21] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:23] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:23] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:25] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:29] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:40] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:49] Ingreso de Usuario Yucsan id=3
[2021-02-04 18:50] Ingreso de Usuario Yucsan id=3
[2021-02-04 20:38] Ingreso de Usuario Yucsan id=3
[2021-02-04 20:42] Ingreso de Usuario Yucsan id=3
[2021-02-05 17:26] Ingreso de Usuario Yucsan id=3
[2021-02-05 17:43] Ingreso de Usuario Yucsan id=3
[2021-02-05 17:43] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:08] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:09] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:26] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:29] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:31] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:37] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:38] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:39] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:39] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:40] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:45] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:45] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:45] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:47] Ingreso de Usuario Yucsan id=3
[2021-02-05 18:51] Ingreso de Usuario Yucsan id=3
[2021-02-06 00:20] Ingreso de Usuario Yucsan id=3
[2021-02-06 00:22] Ingreso de Usuario Yucsan id=3
[2021-02-07 09:59] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:02] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:08] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:08] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:11] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:18] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:20] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:23] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:27] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:28] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:32] Ingreso de Usuario Yucsan id=3
[2021-02-07 10:32] Ingreso de Usuario Yucsan id=3
[2021-02-15 16:02] Ingreso de Usuario Yucsan id=3
[2021-02-15 16:56] Ingreso de Usuario Yucsan id=3
[2021-02-16 12:23] Ingreso de Usuario Yucsan id=3
[2021-02-16 12:23] Ingreso de Usuario Yucsan id=3
[2021-02-16 13:45] Ingreso de Usuario Yucsan id=3
[2021-02-19 09:35] Ingreso de Usuario Yucsan id=3
[2021-02-19 10:57] Ingreso de Usuario Yucsan id=3
[2021-02-19 10:57] Ingreso de Usuario Yucsan id=3
[2021-02-19 10:59] Ingreso de Usuario Yucsan id=3
[2021-02-19 10:59] Ingreso de Usuario Yucsan id=3
[2021-02-27 10:16] Ingreso de Usuario Yucsan id=3
[2021-02-27 10:16] Ingreso de Usuario Yucsan id=3
[2021-02-27 10:17] Ingreso de Usuario Yucsan id=3
[2021-02-27 10:17] Ingreso de Usuario Yucsan id=3
[2021-03-02 20:15] Ingreso de Usuario Yucsan id=3
[2021-03-02 21:43] Ingreso de Usuario Yucsan id=3
[2021-03-02 21:43] Ingreso de Usuario Yucsan id=3
[2021-03-02 22:05] Ingreso de Usuario Yucsan id=3
[2021-03-02 22:06] Ingreso de Usuario Yucsan id=3
[2021-03-02 22:09] Ingreso de Usuario Yucsan id=3
[2021-03-02 22:09] Ingreso de Usuario Yucsan id=3
[2021-03-02 22:10] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:38] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:39] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:44] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:44] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:58] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:58] Ingreso de Usuario Yucsan id=3
[2021-03-04 13:59] Ingreso de Usuario Yucsan id=3
[2021-03-04 14:22] Ingreso de Usuario Yucsan id=3
[2021-03-04 14:58] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:02] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:08] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:08] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:13] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:15] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:26] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:27] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:38] Ingreso de Usuario Yucsan id=3
[2021-03-04 15:43] Ingreso de Usuario Yucsan id=3
[2021-03-04 17:00] Ingreso de Usuario Yucsan id=3
[2021-03-04 17:10] Ingreso de Usuario Yucsan id=3
[2021-03-05 09:01] Ingreso de Usuario Yucsan id=3
[2021-03-05 09:48] Ingreso de Usuario Yucsan id=3
[2021-03-05 13:01] Ingreso de Usuario Yucsan id=3
[2021-03-05 14:51] Ingreso de Usuario Yucsan id=3
[2021-03-05 14:51] Ingreso de Usuario Yucsan id=3
[2021-03-05 14:52] Ingreso de Usuario Yucsan id=3
[2021-03-05 14:52] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:01] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:02] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:03] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:05] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:18] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:25] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:25] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:27] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:28] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:30] Ingreso de Usuario Yucsan id=3
